author,comments,country,crawled,domain_rank,language,likes,main_image,ord_in_thread,participants_count,published,replies_count,section_title,shares,site,spam_score,text,title,type,uuid
relO627,0,US,2017-06-07T19:51:34.007+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/06/RTX39GQ2.jpg,2,5,2017-06-07T03:00:00.000+03:00,4,PBS NewsHour,0,pbs.org,0.0,You mad boris? Yea you made trump fanboy. Go back to the bread line.,Intel officials won't publicly discuss private conversations with Trump,normal,e171ce69d222281ae444d1e9a207601f1f928a4f
Pasquino,0,US,2017-06-07T19:51:34.007+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/06/RTX39GQ2.jpg,1,5,2017-06-07T03:00:00.000+03:00,4,PBS NewsHour,0,pbs.org,0.0,Yawn. What part of Executive Privilege didn't they pretend to not understand?,Intel officials won't publicly discuss private conversations with Trump,normal,90c23f09105cd7bf381e48afb6bcdf24fe81e660
owl905,0,US,2017-06-07T19:51:34.008+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/06/RTX39GQ2.jpg,3,5,2017-06-07T03:00:00.000+03:00,4,PBS NewsHour,0,pbs.org,0.0,"So far that's good news. It may not have the scandal-factor, but at least two of the witnesses (Coats and Rogers) said there was no pressure. That's upside for the investigation of Russian interference. If they have anything relevant to add, they're better off to testify behind closed doors.",Intel officials won't publicly discuss private conversations with Trump,normal,d38c330b156c609ff900623a1c7598ea6453ae07
Joan Harris,0,US,2017-06-07T19:51:34.011+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/06/RTX39GQ2.jpg,4,5,2017-06-07T03:00:00.000+03:00,4,PBS NewsHour,0,pbs.org,0.0,"They serve the Office of the Presidency and will answer questions in a private forum. 
It is a grim group.",Intel officials won't publicly discuss private conversations with Trump,normal,e689f5907f49349f145261085e08e6a897cbf1de
Temeraire,0,US,2017-06-07T19:51:35.009+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/06/RTX39ENI.jpg,5,5,2017-06-07T03:00:00.000+03:00,8,PBS NewsHour,0,pbs.org,0.0,"the desalinization plants are terrible for the ocean, the waste from them ,dense saline and bromine,etc.,.,.","Islamic State group claims attacks on Iran’s parliament, shrine",normal,cec7ae90e155c078ac2b002d7647feaa5006c030
markthechicken,0,US,2017-06-07T19:51:35.011+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/06/RTX39ENI.jpg,4,5,2017-06-07T03:00:00.000+03:00,8,PBS NewsHour,0,pbs.org,0.0,Climate change certainly isn't going to improve the situation in the Middle East. Water scarcity is going to be a big problem there.,"Islamic State group claims attacks on Iran’s parliament, shrine",normal,432e7d77cb919576a20db6316cfd35d93cf7f9d2
Pasquino,0,US,2017-06-07T19:51:36.000+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/05/rosenstein-e1495221946576.jpg,15,7,2017-06-07T03:00:00.000+03:00,19,PBS NewsHour,0,pbs.org,0.0,"From some anonymous source right. I never believed any of the anonymous source stuff they said about Obama and I thought he was awful. So sad how you all believe these completely made up ""FACTS""","WATCH LIVE: Rosenstein, McCabe and other Senate Intel officials testify",normal,ab6a8266e62d60f8a02edf446240a24114b5f955
Pasquino,0,US,2017-06-07T19:51:36.003+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/06/RTX39ENI.jpg,7,5,2017-06-07T03:00:00.000+03:00,8,PBS NewsHour,0,pbs.org,0.0,Desalinization plants have been brought online in many countries in the m.e that are not landlocked. They are unhealthy for the worlds oceans. Should only be used for emergencies. The countries using them to supplement the water supply are not correcting the water usage issues at hand and looking at the plants as more of a solution to the problems at hand. Water scarcity is more and more a major problem in the m.e.,"Islamic State group claims attacks on Iran’s parliament, shrine",normal,f06a6c3c6e34e94230870176903a7201bd4fd283
owl905,0,US,2017-06-07T19:51:36.006+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/06/RTX39ENI.jpg,8,5,2017-06-07T03:00:00.000+03:00,8,PBS NewsHour,0,pbs.org,0.0,"Every other day, though? Could you provide the dates? These things are hard to keep track of, you know.
And it very well could be. Environmental issues affect the world as a whole. As the Middle East runs out of oil to sell, things will destabilize, as will rising sea levels and hotter days, which means less water in an already arid region. Struggles for resources are under nearly every conflict, and terrorism is no exception. As resources become scarcer because of global warming, we can expect to see more conflict, with the caveat that, obviously, climate change isn't everything, but, then again, that means that Islam isn't the only factor in these attacks either, as you seem to imply.","Islamic State group claims attacks on Iran’s parliament, shrine",normal,2615725d3c46d15b46c4c3205156d63a4fb23f94
markthechicken,0,US,2017-06-07T19:51:36.009+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/06/RTX39ENI.jpg,6,5,2017-06-07T03:00:00.000+03:00,8,PBS NewsHour,0,pbs.org,0.0,What's your point?,"Islamic State group claims attacks on Iran’s parliament, shrine",normal,99212ed90130d1133c25f18fc818e64619ada170
Fr33th1nk3r,0,US,2017-06-07T19:51:37.001+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/05/rosenstein-e1495221946576.jpg,8,7,2017-06-07T03:00:00.000+03:00,19,PBS NewsHour,0,pbs.org,0.0,"I guess that answers that question....if there was nothing, there would be nothing to ""classify"".","WATCH LIVE: Rosenstein, McCabe and other Senate Intel officials testify",normal,35422ec41871ddf66a5e7d2da9a0a5c9dd387d4d
Fr33th1nk3r,0,US,2017-06-07T19:51:37.002+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/05/rosenstein-e1495221946576.jpg,13,7,2017-06-07T03:00:00.000+03:00,19,PBS NewsHour,0,pbs.org,0.0,Seriously. What does I HAVE NEVER BEEN ASKED TO STOP ANY INVESTIGATION mean to you,"WATCH LIVE: Rosenstein, McCabe and other Senate Intel officials testify",normal,e557dd4657ba2b439be8bccf1cc8749f29233fd9
relO627,0,US,2017-06-07T19:51:37.002+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/05/rosenstein-e1495221946576.jpg,9,7,2017-06-07T03:00:00.000+03:00,19,PBS NewsHour,0,pbs.org,0.0,"I guess that answers that question....if there was nothing, there would be nothing to ""classify"".","WATCH LIVE: Rosenstein, McCabe and other Senate Intel officials testify",normal,ae9fc8933bc366210da33e6def13ff7a0dde8ad7
Fr33th1nk3r,0,US,2017-06-07T19:51:37.002+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/05/rosenstein-e1495221946576.jpg,10,7,2017-06-07T03:00:00.000+03:00,19,PBS NewsHour,0,pbs.org,0.0,"I guess that answers that question....if there was nothing, there would be nothing to ""classify"".","WATCH LIVE: Rosenstein, McCabe and other Senate Intel officials testify",normal,6e0a283a6943fdc91180cf48f53f27fce844973d
Juan Escamilla,0,US,2017-06-07T19:51:37.005+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/05/rosenstein-e1495221946576.jpg,17,7,2017-06-07T03:00:00.000+03:00,19,PBS NewsHour,0,pbs.org,0.0,"Is that your excuse why Benghazi, the email server, and 16 hearings/$14 million taxdollars into Hillarys's past yielded a big, fat, NOTHINGBURGER with FREEDOM FRIES?","WATCH LIVE: Rosenstein, McCabe and other Senate Intel officials testify",normal,44be91883a7a5e96d4ce04bce7a0f974df669642
relO627,0,US,2017-06-07T19:51:37.006+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/05/rosenstein-e1495221946576.jpg,14,7,2017-06-07T03:00:00.000+03:00,19,PBS NewsHour,0,pbs.org,0.0,"Comey: Trump said “I hope you can see your way clear to letting this go, to letting Flynn go. He is a good guy. I hope you can let this go","WATCH LIVE: Rosenstein, McCabe and other Senate Intel officials testify",normal,08319175e150005baca022f260790f0b4cf05a37
Pasquino,0,US,2017-06-07T19:51:37.006+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/05/rosenstein-e1495221946576.jpg,11,7,2017-06-07T03:00:00.000+03:00,19,PBS NewsHour,0,pbs.org,0.0,They didnt state is was classified. They said they wanted to speak in a classified setting. Ie not public.,"WATCH LIVE: Rosenstein, McCabe and other Senate Intel officials testify",normal,3290e4cb976f8b8fea24f7ea3974605ab2443d18
Fr33th1nk3r,0,US,2017-06-07T19:51:37.007+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/05/rosenstein-e1495221946576.jpg,12,7,2017-06-07T03:00:00.000+03:00,19,PBS NewsHour,0,pbs.org,0.0,A very thin hair to split!!!,"WATCH LIVE: Rosenstein, McCabe and other Senate Intel officials testify",normal,1a12bdc8ad6241fee2567a2773100ac9cf2cd273
Fr33th1nk3r,0,US,2017-06-07T19:51:37.010+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/05/rosenstein-e1495221946576.jpg,16,7,2017-06-07T03:00:00.000+03:00,19,PBS NewsHour,0,pbs.org,0.0,"Bam.
https://www.intelligence.se...","WATCH LIVE: Rosenstein, McCabe and other Senate Intel officials testify",normal,7021c48578ffb05a9dacf227e56acaef10f3e895
Saintsfan1,0,US,2017-06-07T19:51:38.003+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/05/rosenstein-e1495221946576.jpg,18,7,2017-06-07T03:00:00.000+03:00,19,PBS NewsHour,0,pbs.org,0.0,"Were they the same emails that revealed his pizza-parlour child prostitution ring?
LOL deplorables!!","WATCH LIVE: Rosenstein, McCabe and other Senate Intel officials testify",normal,498ffea1d24ac1b951993e995acbc51d397e5205
relO627,0,US,2017-06-07T19:51:38.012+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/05/rosenstein-e1495221946576.jpg,19,7,2017-06-07T03:00:00.000+03:00,19,PBS NewsHour,0,pbs.org,0.0,And nobody is asking YOU to do jack. You are NOT the special prosecutor!!!,"WATCH LIVE: Rosenstein, McCabe and other Senate Intel officials testify",normal,52ff867b4a1007909a0b010df956bd1005000286
owl905,0,US,2017-06-07T19:51:39.012+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/06/RTX39FGV.jpg,11,11,2017-06-07T03:00:00.000+03:00,11,PBS NewsHour,0,pbs.org,0.0,Good choice ... he can help defend the White House ... from the FBI.,Trump to nominate Christopher Wray as next FBI director,normal,2e769a073cd770450a84643ddc9971aa210236a1
